sss_year,state,filing_status,variable_name,type,calculation_method,income_min,income_max,value,notes,source,source_url,collected_by,date_collected
2026,IA,all,cdcc,credit,percent_of_expense,0,9999,0.75,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,10000,19999,0.65,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,20000,24999,0.55,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,25000,34999,0.5,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,35000,39999,0.4,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,40000,89999,0.3,NA,NA,NA,NA,NA
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,0,30000,15000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA0,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,30000,31000,14000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA0,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,31000,32000,13000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA0,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,32000,33000,12000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA0,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,33000,34000,11000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA1,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,34000,35000,10000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA2,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,35000,36000,9000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA3,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,36000,37000,8000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA4,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,37000,38000,7000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA5,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,38000,39000,6000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA6,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,39000,40000,5000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA7,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,40000,41000,4000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA8,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,41000,42000,3000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA9,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,42000,43000,2000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA10,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,43000,44000,1000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA11,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,44000,Inf,0,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA12,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,0,48000,24000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA13,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,48000,49000,23000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA14,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,49000,50000,22000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA15,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,50000,51000,21000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA16,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,51000,52000,20000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA17,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,52000,53000,19000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA18,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,53000,54000,18000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA19,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,54000,55000,17000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA20,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,55000,56000,16000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA21,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,56000,57000,15000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA22,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,57000,58000,14000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA23,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,58000,59000,13000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA24,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,59000,60000,12000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA25,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,60000,61000,11000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA26,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,61000,62000,10000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA27,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,62000,63000,9000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA28,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,63000,64000,8000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA29,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,64000,65000,7000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA30,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,65000,66000,6000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA31,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,66000,67000,5000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA32,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,67000,68000,4000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA33,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,68000,69000,3000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA34,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,69000,70000,2000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA35,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,70000,71000,1000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA36,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,71000,Inf,0,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA37,Aku,06/24/2025
2026,CT,single_parent,exemption_per_person,taxable_income_subtraction,per_person,0,38000,19000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA38,Aku,06/24/2025
2026,CT,single_parent,exemption_per_person,taxable_income_subtraction,per_person,38000,39000,18000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA39,Aku,06/24/2025
2026,CT,single_parent,exemption_per_person,taxable_income_subtraction,per_person,39000,40000,17000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA40,Aku,06/24/2025
2026,CT,single_parent,exemption_per_person,taxable_income_subtraction,per_person,40000,41000,16000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA41,Aku,06/24/2025
2026,CT,single_parent,exemption_per_person,taxable_income_subtraction,per_person,41000,42000,15000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA42,Aku,06/24/2025
